"","env","spa","codist","r2","iteration","site","identifier","scenario","richness"
"1",4.88389320773741e-05,7.002391428424e-07,8.90152699137288e-06,5.84406982115894e-05,"iter1","site1","site1_iter1","scenario5",1
"2",4.07369745037623e-05,1.27137353498209e-05,7.17285789729345e-06,6.06235677508767e-05,"iter1","site2","site2_iter1","scenario5",2
"3",2.70924509617166e-05,0,7.6697138903655e-06,3.47621648520822e-05,"iter1","site3","site3_iter1","scenario5",1
"4",0.000151171600792066,5.61276434099678e-06,0,0.000156784365133063,"iter1","site4","site4_iter1","scenario5",0
"5",4.68539992902937e-05,0,6.11651912902748e-06,5.29705184193212e-05,"iter1","site5","site5_iter1","scenario5",1
"6",0.000162314471059165,8.77640254340223e-05,0,0.000250078496493187,"iter1","site6","site6_iter1","scenario5",0
"7",0.000179648947549025,0,0,0.000179648947549025,"iter1","site7","site7_iter1","scenario5",0
"8",3.74400144586576e-05,0,8.45182213950258e-06,4.58918365981602e-05,"iter1","site8","site8_iter1","scenario5",1
"9",5.35435744298474e-06,0,1.21368038919715e-07,5.47572548190445e-06,"iter1","site9","site9_iter1","scenario5",0
"10",0.000170156058517737,1.38926094006799e-05,0,0.000184048667918416,"iter1","site10","site10_iter1","scenario5",0
"11",4.87779472459213e-05,0,0,4.87779472459213e-05,"iter1","site11","site11_iter1","scenario5",0
"12",7.71065968826476e-05,1.10774747513075e-05,8.80925281064265e-06,9.69933244445978e-05,"iter1","site12","site12_iter1","scenario5",1
"13",2.80843881746052e-05,0,0,2.80843881746052e-05,"iter1","site13","site13_iter1","scenario5",0
"14",2.12068117132045e-05,0,0,2.12068117132045e-05,"iter1","site14","site14_iter1","scenario5",1
"15",4.07512991978489e-05,0,9.07635233256825e-06,4.98276515304171e-05,"iter1","site15","site15_iter1","scenario5",1
"16",1.41729891554818e-05,0,0,1.41729891554818e-05,"iter1","site16","site16_iter1","scenario5",0
"17",2.08777333686121e-05,2.97600866741929e-07,0,2.1175334235354e-05,"iter1","site17","site17_iter1","scenario5",0
"18",0.000187352036345393,0,0,0.000187352036345393,"iter1","site18","site18_iter1","scenario5",0
"19",3.62349268135746e-05,0,6.03645968573357e-06,4.22713864993081e-05,"iter1","site19","site19_iter1","scenario5",1
"20",4.97715208583646e-05,1.85260108588343e-05,1.58147466541822e-05,8.41122783713812e-05,"iter1","site20","site20_iter1","scenario5",1
"21",0.00015563186088001,0,1.06166752718543e-05,0.000166248536151865,"iter1","site21","site21_iter1","scenario5",1
"22",5.24971365851307e-05,0,0,5.24971365851307e-05,"iter1","site22","site22_iter1","scenario5",0
"23",2.62891707520855e-05,8.17844742141789e-07,8.79693698150487e-06,3.59039524757321e-05,"iter1","site23","site23_iter1","scenario5",1
"24",9.77752744393846e-05,0,1.01943574239518e-05,0.000107969631863336,"iter1","site24","site24_iter1","scenario5",1
"25",3.22757021272431e-05,0,0,3.22757021272431e-05,"iter1","site25","site25_iter1","scenario5",0
"26",3.38458301308513e-05,0,2.73642487414867e-06,3.6582255005e-05,"iter1","site26","site26_iter1","scenario5",1
"27",0.000187996215879828,0,0,0.000187996215879828,"iter1","site27","site27_iter1","scenario5",0
"28",2.63196774069861e-05,0,0,2.63196774069861e-05,"iter1","site28","site28_iter1","scenario5",0
"29",8.90018091789231e-05,0,0,8.90018091789231e-05,"iter1","site29","site29_iter1","scenario5",0
"30",3.45856680902857e-05,4.55464372008963e-05,7.97676168739223e-06,8.81088669785742e-05,"iter1","site30","site30_iter1","scenario5",1
"31",3.56491862114529e-05,4.74681263096156e-05,8.96048177433846e-06,9.2077794295407e-05,"iter1","site31","site31_iter1","scenario5",1
"32",3.98378725843786e-05,7.62055958953342e-06,5.06877377791071e-06,5.25272059518227e-05,"iter1","site32","site32_iter1","scenario5",1
"33",7.65653761562233e-06,1.0772222968812e-05,0,1.84287605844343e-05,"iter1","site33","site33_iter1","scenario5",0
"34",8.26209387168094e-05,2.80260788182202e-05,1.53148695432793e-05,0.000125961887078309,"iter1","site34","site34_iter1","scenario5",1
"35",6.91656001184162e-05,6.71633000858219e-05,1.81833078948039e-05,0.000154512208099042,"iter1","site35","site35_iter1","scenario5",1
"36",3.22202898955534e-05,0.000131648811545164,1.78400717474448e-05,0.000181709173188163,"iter1","site36","site36_iter1","scenario5",1
"37",2.57543161379088e-05,0,0,2.57543161379088e-05,"iter1","site37","site37_iter1","scenario5",0
"38",0.000122638010029543,4.82295130278715e-06,9.92008972022594e-06,0.000137381051052556,"iter1","site38","site38_iter1","scenario5",1
"39",3.34961189036399e-05,0,0,3.34961189036399e-05,"iter1","site39","site39_iter1","scenario5",0
"40",1.31147647186957e-05,2.82707664965208e-06,8.34225881225466e-06,2.42841001806024e-05,"iter1","site40","site40_iter1","scenario5",1
"41",6.61271811646748e-05,0,0,6.61271811646748e-05,"iter1","site41","site41_iter1","scenario5",0
"42",2.52229699041111e-05,1.83565421261018e-07,8.38631416866695e-06,3.37928494940391e-05,"iter1","site42","site42_iter1","scenario5",1
"43",6.85378013095383e-05,1.58538189828904e-05,9.5815824580248e-06,9.39732027504535e-05,"iter1","site43","site43_iter1","scenario5",1
"44",1.80742775326021e-05,0,0,1.80742775326021e-05,"iter1","site44","site44_iter1","scenario5",0
"45",2.7097236098894e-05,0,0,2.7097236098894e-05,"iter1","site45","site45_iter1","scenario5",1
"46",5.47954145698913e-05,0,7.10833486059004e-06,6.19037494304813e-05,"iter1","site46","site46_iter1","scenario5",1
"47",0.000207132496451348,0,0,0.000207132496451348,"iter1","site47","site47_iter1","scenario5",0
"48",1.64824438966707e-05,0,3.51439508939144e-06,1.99968389860621e-05,"iter1","site48","site48_iter1","scenario5",1
"49",4.46062653193106e-06,0,0,4.46062653193106e-06,"iter1","site49","site49_iter1","scenario5",0
"50",4.55253077392902e-05,3.37278923343168e-05,1.23399979845633e-05,9.15931980581703e-05,"iter1","site50","site50_iter1","scenario5",1
"51",2.24623335725167e-05,0,0,2.24623335725167e-05,"iter1","site51","site51_iter1","scenario5",0
"52",8.79409540113339e-05,0,0,8.79409540113339e-05,"iter1","site52","site52_iter1","scenario5",0
"53",1.10040613958629e-05,0,3.94747484012739e-09,1.1008008870703e-05,"iter1","site53","site53_iter1","scenario5",1
