"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.575892546996731,0.0357299269625885,0,0.61162247395932,"iter_1",0.75,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario6",308
"2","2",0.599666612766212,0.0835723607092771,0,0.683238973475489,"iter_1",0.25,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario6",312
"3","1",0.576153393838133,0.0710916668524934,0,0.647245060690627,"iter_2",0.75,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario6",309
"4","2",0.574833647741309,0.0457114246366631,0,0.620545072377972,"iter_2",0.25,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario6",297
"5","1",0.566624846686777,0.038390188090552,0,0.605015034777329,"iter_3",0.75,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario6",284
"6","2",0.654615392697199,0.0348870887023757,0,0.689502481399575,"iter_3",0.25,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario6",318
"7","1",0.485574886114971,0.0757449009451541,0.0742948383351683,0.635614625395293,"iter_4",0.75,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario6",290
"8","2",0.616661841788697,0.0607591438213981,0,0.677420985610095,"iter_4",0.25,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario6",306
"9","1",0.596570014834126,0.048626085199695,0,0.645196100033821,"iter_5",0.75,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario6",305
"10","2",0.547701736730833,0.0485062592631816,0.0702905463182737,0.666498542312289,"iter_5",0.25,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario6",314
