"","env","spa","codist","r2","iteration","site","identifier","scenario","richness"
"1",1.36602132754352e-05,5.48982423395122e-06,0,1.91500375093864e-05,"iter1","site1","site1_iter1","scenario2",0
"2",5.44458467769547e-05,1.89197741099281e-05,0,7.33656208868827e-05,"iter1","site2","site2_iter1","scenario2",1
"3",5.02891354721877e-05,0,0,5.02891354721877e-05,"iter1","site3","site3_iter1","scenario2",0
"4",9.00645556569821e-05,6.27269775625692e-05,0,0.000152791533219551,"iter1","site4","site4_iter1","scenario2",0
"5",1.9629387613502e-06,0,0,1.9629387613502e-06,"iter1","site5","site5_iter1","scenario2",0
"6",3.0178931037589e-05,0,0,3.0178931037589e-05,"iter1","site6","site6_iter1","scenario2",0
"7",9.89898449019639e-05,0,0,9.89898449019639e-05,"iter1","site7","site7_iter1","scenario2",0
"8",1.77372375540626e-05,1.80022371978321e-05,0,3.57394747518946e-05,"iter1","site8","site8_iter1","scenario2",0
"9",4.58280024368169e-05,8.84868863538834e-05,0,0.0001343148887907,"iter1","site9","site9_iter1","scenario2",1
"10",0.000107736336016717,9.85961933682856e-06,0,0.000117595955353546,"iter1","site10","site10_iter1","scenario2",0
"11",0,6.29719102791253e-05,0,6.29719102791253e-05,"iter1","site11","site11_iter1","scenario2",0
"12",0,2.91839138759665e-05,0,2.91839138759665e-05,"iter1","site12","site12_iter1","scenario2",0
"13",0,7.93608471227716e-05,0,7.93608471227716e-05,"iter1","site13","site13_iter1","scenario2",0
"14",2.90120949544064e-05,0,0,2.90120949544064e-05,"iter1","site14","site14_iter1","scenario2",0
"15",0,1.26268083748816e-05,0,1.26268083748816e-05,"iter1","site15","site15_iter1","scenario2",0
"16",6.2341793842263e-05,5.17234668610642e-06,0,6.75141405283695e-05,"iter1","site16","site16_iter1","scenario2",1
"17",1.1520485982106e-05,1.21301629949583e-05,0,2.36506489770643e-05,"iter1","site17","site17_iter1","scenario2",0
"18",0.000154378760288408,0,0,0.000154378760288408,"iter1","site18","site18_iter1","scenario2",0
"19",6.37623991206071e-05,3.30676739661767e-05,0,9.68300730867838e-05,"iter1","site19","site19_iter1","scenario2",0
"20",4.51185661618177e-06,3.61126190857518e-06,0,8.12311852475695e-06,"iter1","site20","site20_iter1","scenario2",0
"21",6.92498676771718e-05,0,0,6.92498676771718e-05,"iter1","site21","site21_iter1","scenario2",0
"22",1.78985621587773e-06,1.13128315308677e-05,0,1.31026877467455e-05,"iter1","site22","site22_iter1","scenario2",0
"23",2.78835718330511e-05,2.49428306174054e-05,0,5.28264024504565e-05,"iter1","site23","site23_iter1","scenario2",0
"24",4.84030995892098e-05,6.3215666077601e-05,0,0.000111618765666811,"iter1","site24","site24_iter1","scenario2",0
"25",6.33299050439356e-06,4.76727672313682e-05,0,5.40057577357618e-05,"iter1","site25","site25_iter1","scenario2",0
"26",3.09962676282218e-05,0,0,3.09962676282218e-05,"iter1","site26","site26_iter1","scenario2",0
"27",0.000163123224385271,0,0,0.000163123224385271,"iter1","site27","site27_iter1","scenario2",0
"28",5.67909845340462e-05,5.84176146579807e-05,0,0.000115208599192027,"iter1","site28","site28_iter1","scenario2",0
"29",2.94720432875424e-05,0,0,2.94720432875424e-05,"iter1","site29","site29_iter1","scenario2",0
"30",4.06601747231708e-05,8.82959385556909e-05,0,0.000128956113278862,"iter1","site30","site30_iter1","scenario2",0
"31",4.31569532583657e-05,0,0,4.31569532583657e-05,"iter1","site31","site31_iter1","scenario2",0
"32",5.01335850067172e-05,2.99621653140997e-05,0,8.00957503208169e-05,"iter1","site32","site32_iter1","scenario2",1
"33",9.53029984527966e-05,0.000271959492547391,0,0.000367262491000188,"iter1","site33","site33_iter1","scenario2",2
"34",8.34117163813448e-06,1.70792027075591e-05,0,2.54203743456935e-05,"iter1","site34","site34_iter1","scenario2",0
"35",1.27377725738082e-05,3.64626214668789e-05,0,4.92003940406871e-05,"iter1","site35","site35_iter1","scenario2",0
"36",2.36754983542072e-05,2.07794116749706e-05,0,4.44549100291778e-05,"iter1","site36","site36_iter1","scenario2",0
"37",1.20379936608224e-06,1.76107435107947e-05,0,1.88145428768769e-05,"iter1","site37","site37_iter1","scenario2",0
"38",3.47114868051789e-05,0,5.06817761980551e-07,3.52183045671595e-05,"iter1","site38","site38_iter1","scenario2",0
"39",9.52783626774132e-06,1.30759427807723e-05,0,2.26037790485136e-05,"iter1","site39","site39_iter1","scenario2",0
"40",2.2582885806691e-05,1.42045007589609e-05,0,3.67873865656519e-05,"iter1","site40","site40_iter1","scenario2",0
"41",5.71983116452645e-06,0,0,5.71983116452645e-06,"iter1","site41","site41_iter1","scenario2",0
"42",2.01118024895989e-05,0,0,2.01118024895989e-05,"iter1","site42","site42_iter1","scenario2",0
"43",6.48074251299285e-06,4.57797665560311e-05,0,5.2260509069024e-05,"iter1","site43","site43_iter1","scenario2",0
"44",7.33606145894074e-05,7.94917998814768e-05,0,0.000152852414470884,"iter1","site44","site44_iter1","scenario2",0
"45",5.45488532216158e-05,0,0,5.45488532216158e-05,"iter1","site45","site45_iter1","scenario2",1
"46",0,4.52930099504789e-07,0,4.52930099504789e-07,"iter1","site46","site46_iter1","scenario2",0
