"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.256656815625221,0.135330120690089,0,0.39198693631531,"iter_1",0.65,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario4",35
"2","2",0.535341325898596,0,0,0.535341325898596,"iter_1",0.35,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario4",52
"3","1",0.263502669407884,0.104891460299883,0,0.368394129707766,"iter_2",0.65,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario4",31
"4","2",0.369574772276928,0.0466730173222999,0,0.416247789599228,"iter_2",0.35,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario4",52
"5","1",0.513826365980144,0,0,0.513826365980144,"iter_3",0.65,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario4",39
"6","2",0.178338400881004,0.182236135822969,0,0.360574536703972,"iter_3",0.35,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario4",60
"7","1",0.292371196014833,0.0723835776733751,0,0.364754773688208,"iter_4",0.65,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario4",38
"8","2",0.591935442396919,0,0,0.591935442396919,"iter_4",0.35,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario4",55
"9","1",0.54621741931485,0,0,0.54621741931485,"iter_5",0.65,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario4",39
"10","2",0.306422440851927,0.074770053863514,0,0.381192494715441,"iter_5",0.35,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario4",50
