"","env","spa","codist","r2","iteration","site","identifier","scenario","richness"
"1",0.00011731766378971,3.23311406649585e-05,0,0.000149648804454669,"iter1","site1","site1_iter1","scenario1",1
"2",0.000199532305798684,0.000377186177199187,0,0.000576718482997871,"iter1","site2","site2_iter1","scenario1",1
"3",0.000212775420453214,0.000406982126902418,0,0.000619757547355632,"iter1","site3","site3_iter1","scenario1",0
"4",0.000651041825347228,9.03256972394465e-05,0,0.000741367522586674,"iter1","site4","site4_iter1","scenario1",0
"5",0.000260036145077199,0.00014872220005778,0,0.000408758345134979,"iter1","site5","site5_iter1","scenario1",2
"6",0.000420146195259939,1.41341535852046e-05,0,0.000434280348845143,"iter1","site6","site6_iter1","scenario1",0
"7",0.000898412618732278,0,0,0.000898412618732278,"iter1","site7","site7_iter1","scenario1",1
"8",0.000148736863527636,0.0001590074811296,0,0.000307744344657236,"iter1","site8","site8_iter1","scenario1",1
"9",4.87812750955832e-05,0.000428774449718532,0,0.000477555724814115,"iter1","site9","site9_iter1","scenario1",1
"10",0.000836538158281254,0.00017058143287251,0,0.00100711959115376,"iter1","site10","site10_iter1","scenario1",0
"11",0.00016736242196805,0.000192629073543993,0,0.000359991495512043,"iter1","site11","site11_iter1","scenario1",0
"12",0.000118589944695278,0,8.4099112690158e-07,0.00011943093582218,"iter1","site12","site12_iter1","scenario1",1
"13",0.000104859003412023,0.000128091344336983,0,0.000232950347749006,"iter1","site13","site13_iter1","scenario1",0
"14",0.00012334273188137,9.88230078682862e-05,0,0.000222165739749656,"iter1","site14","site14_iter1","scenario1",1
"15",0.000206019964766435,0.000220891525427498,0,0.000426911490193933,"iter1","site15","site15_iter1","scenario1",1
"16",6.88893087660998e-05,0.000295696625791879,0,0.000364585934557979,"iter1","site16","site16_iter1","scenario1",1
"17",7.98747349402217e-05,0.00016816848323921,0,0.000248043218179432,"iter1","site17","site17_iter1","scenario1",0
"18",0.00132009389218003,0.000142762130506719,0,0.00146285602268675,"iter1","site18","site18_iter1","scenario1",0
"19",0.000279689677525612,0.000176119828053664,0,0.000455809505579276,"iter1","site19","site19_iter1","scenario1",2
"20",0.000203274097328613,0.000223828959253058,0,0.000427103056581671,"iter1","site20","site20_iter1","scenario1",1
"21",0.000759421889110959,0,0,0.000759421889110959,"iter1","site21","site21_iter1","scenario1",0
"22",9.01817262196777e-05,0.000229526758731844,0,0.000319708484951522,"iter1","site22","site22_iter1","scenario1",0
"23",0.0001763795120843,0.000566399249892066,0,0.000742778761976366,"iter1","site23","site23_iter1","scenario1",0
"24",0.000392109910470665,0.000160090957631972,0,0.000552200868102637,"iter1","site24","site24_iter1","scenario1",1
"25",6.49109539578932e-05,0.000205299165997149,0,0.000270210119955043,"iter1","site25","site25_iter1","scenario1",0
"26",0.000106544805914925,0.000200212389216479,0,0.000306757195131403,"iter1","site26","site26_iter1","scenario1",0
"27",0.0012129759764157,0,0,0.0012129759764157,"iter1","site27","site27_iter1","scenario1",0
"28",0.000135782680115989,0.000191530728340132,0,0.000327313408456122,"iter1","site28","site28_iter1","scenario1",1
"29",0.000438919282207993,0.000202365047179286,0,0.000641284329387279,"iter1","site29","site29_iter1","scenario1",2
"30",0.000122201266815989,5.26843063573252e-05,0,0.000174885573173314,"iter1","site30","site30_iter1","scenario1",0
"31",5.85015022302158e-05,0.000322780632410488,0,0.000381282134640704,"iter1","site31","site31_iter1","scenario1",0
"32",0.000210848053914472,0.000113740280034112,0,0.000324588333948584,"iter1","site32","site32_iter1","scenario1",1
"33",0.000254879883420201,0.000382843931546652,2.02894330721098e-05,0.000658013248038963,"iter1","site33","site33_iter1","scenario1",3
"34",0.00024112142607707,0.000231775512168828,0,0.000472896938245898,"iter1","site34","site34_iter1","scenario1",2
"35",0.000324925112334385,0.000459514122663808,0,0.000784439234998193,"iter1","site35","site35_iter1","scenario1",1
"36",0.000199855826043597,0.000741504008084504,0,0.000941359834128101,"iter1","site36","site36_iter1","scenario1",0
"37",0.000196010252965025,0.000129318032225016,0,0.000325328285190041,"iter1","site37","site37_iter1","scenario1",1
"38",0.000566141582930911,0.00030917189147164,0,0.000875313474402551,"iter1","site38","site38_iter1","scenario1",0
"39",8.72993675112369e-05,6.90763987654089e-05,0,0.000156375766276646,"iter1","site39","site39_iter1","scenario1",0
"40",0.000190188062713224,0.000267736133383307,0,0.000457924196096531,"iter1","site40","site40_iter1","scenario1",2
"41",0.000292708621332082,0.000276047987439914,0,0.000568756608771996,"iter1","site41","site41_iter1","scenario1",0
"42",0.000183337779571705,6.66215326437353e-05,0,0.000249959312215441,"iter1","site42","site42_iter1","scenario1",0
"43",0.000262161810543581,0.000423332539431963,0,0.000685494349975544,"iter1","site43","site43_iter1","scenario1",2
"44",0.000210799304720743,0.000327690972757734,0,0.000538490277478477,"iter1","site44","site44_iter1","scenario1",0
"45",0.00026136049822034,0.000230267619770324,0,0.000491628117990664,"iter1","site45","site45_iter1","scenario1",1
"46",0.000180165596774739,0.000213613417552162,0,0.000393779014326901,"iter1","site46","site46_iter1","scenario1",0
"47",0.00127072062507854,0,0,0.00127072062507854,"iter1","site47","site47_iter1","scenario1",0
"48",0.000254488135942508,0.000611242252835604,0,0.000865730388778112,"iter1","site48","site48_iter1","scenario1",1
"49",0.000152836402978895,5.95786026933336e-05,0,0.000212415005672229,"iter1","site49","site49_iter1","scenario1",0
"50",0.000218821032616668,0.000387126457851176,0,0.000605947490467844,"iter1","site50","site50_iter1","scenario1",2
"51",0.000119134881437771,3.58379577636968e-05,0,0.000154972839201468,"iter1","site51","site51_iter1","scenario1",0
"52",0.000303144755201559,0.000264330935467992,0,0.000567475690669551,"iter1","site52","site52_iter1","scenario1",0
"53",0.00013799287536831,0.000104827828540092,0,0.000242820703908402,"iter1","site53","site53_iter1","scenario1",1
"54",9.18348648825102e-05,0.000310619989726809,0,0.000402454854609319,"iter1","site54","site54_iter1","scenario1",1
"55",0.000713970748854484,6.65408716094164e-05,0,0.000780511620463901,"iter1","site55","site55_iter1","scenario1",1
"56",0.000604713127695199,0.000396270857054042,0,0.00100098398474924,"iter1","site56","site56_iter1","scenario1",0
"57",0.000123984337406005,9.44917339544857e-05,0,0.00021847607136049,"iter1","site57","site57_iter1","scenario1",0
"58",0.000188172931124317,0.00015996055379842,0,0.000348133484922737,"iter1","site58","site58_iter1","scenario1",0
"59",0.000124575204415774,0.000173614550208077,0,0.000298189754623851,"iter1","site59","site59_iter1","scenario1",0
"60",0.000113691778958141,0.000121091334963359,0,0.000234783113921499,"iter1","site60","site60_iter1","scenario1",0
"61",0.000717916312752852,0.000266589348036406,0,0.000984505660789258,"iter1","site61","site61_iter1","scenario1",1
"62",0.000169659609312525,0.00052147428035396,0,0.000691133889666485,"iter1","site62","site62_iter1","scenario1",1
"63",0.000180094838566218,0.000373912003820715,0,0.000554006842386932,"iter1","site63","site63_iter1","scenario1",2
"64",0.000174484723880383,0.000322726324864029,0,0.000497211048744413,"iter1","site64","site64_iter1","scenario1",2
"65",0.000151958880527031,9.21963654662544e-05,0,0.000244155245993285,"iter1","site65","site65_iter1","scenario1",0
"66",0.000103759069695917,6.63996420253334e-05,0,0.00017015871172125,"iter1","site66","site66_iter1","scenario1",0
"67",0.000210046550145356,0.000119487595395225,0,0.000329534145540581,"iter1","site67","site67_iter1","scenario1",1
"68",0.000132568686676151,0.000699602559231194,0,0.000832171245907345,"iter1","site68","site68_iter1","scenario1",1
"69",0.000520287748695151,2.84112134663388e-05,0,0.00054869896216149,"iter1","site69","site69_iter1","scenario1",0
"70",0.000430491844370267,5.84180208251172e-05,0,0.000488909865195384,"iter1","site70","site70_iter1","scenario1",0
"71",8.26462088352268e-05,0.00021091689074263,0,0.000293563099577857,"iter1","site71","site71_iter1","scenario1",0
"72",0.000276785429847591,0,0,0.000276785429847591,"iter1","site72","site72_iter1","scenario1",1
"73",0.000245265376942783,0.000759873127696353,0,0.00100513850463914,"iter1","site73","site73_iter1","scenario1",1
"74",7.39520681082979e-05,0.000421750230708369,0,0.000495702298816666,"iter1","site74","site74_iter1","scenario1",0
"75",0.000312109090808635,0.000521457169346139,0,0.000833566260154774,"iter1","site75","site75_iter1","scenario1",2
"76",0.000538333161461369,0.000186055236229938,0,0.000724388397691307,"iter1","site76","site76_iter1","scenario1",1
"77",0.000527350429952278,0.000490441979871544,0,0.00101779240982382,"iter1","site77","site77_iter1","scenario1",0
