"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.674492653433398,0.0984146990782126,0.0920828846335592,0.86499023714517,"iter_1",0.1,1,0.4,0.005,0,0,"spp1_iter_1","scenario2",338
"2","2",0.636956825745566,0.0834872214375726,0.150868601135758,0.871312648318897,"iter_1",0.157142857142857,1,0.4,0.005,0,0,"spp2_iter_1","scenario2",414
"3","3",0.62677559931803,0.0708417161483586,0.132812613317169,0.830429928783558,"iter_1",0.214285714285714,1,0.4,0.005,0,0,"spp3_iter_1","scenario2",490
"4","4",0.558296575284598,0.101598304754936,0.141010220685866,0.8009051007254,"iter_1",0.271428571428571,1,0.4,0.005,0,0,"spp4_iter_1","scenario2",568
"5","5",0.433057930643625,0.10027825218756,0.146568458362401,0.679904641193586,"iter_1",0.328571428571429,1,0.4,0.005,0,0,"spp5_iter_1","scenario2",629
"6","6",0.356573070924314,0.120947721091631,0.119512750952641,0.597033542968586,"iter_1",0.385714285714286,1,0.4,0.005,0,0,"spp6_iter_1","scenario2",706
"7","7",0.231968029907187,0.154402708857249,0.0625251535391076,0.448895892303544,"iter_1",0.442857142857143,1,0.4,0.005,0,0,"spp7_iter_1","scenario2",734
"8","8",0.152419954173733,0.145668965813346,0.00371156112967153,0.30180048111675,"iter_1",0.5,1,0.4,0.005,0,0,"spp8_iter_1","scenario2",833
"9","9",0.247120817485056,0.153441345387201,0.0149747665943748,0.415536929466631,"iter_1",0.557142857142857,1,0.4,0.005,0,0,"spp9_iter_1","scenario2",772
"10","10",0.31409761490198,0.121586258642711,0.1112031467976,0.546887020342291,"iter_1",0.614285714285714,1,0.4,0.005,0,0,"spp10_iter_1","scenario2",700
"11","11",0.449757888988255,0.0952252554556552,0.14123075263264,0.68621389707655,"iter_1",0.671428571428571,1,0.4,0.005,0,0,"spp11_iter_1","scenario2",623
"12","12",0.493729671391756,0.0862807041059442,0.157112912656876,0.737123288154576,"iter_1",0.728571428571429,1,0.4,0.005,0,0,"spp12_iter_1","scenario2",562
"13","13",0.567515175692332,0.0972831364365965,0.178878399588508,0.843676711717437,"iter_1",0.785714285714286,1,0.4,0.005,0,0,"spp13_iter_1","scenario2",503
"14","14",0.646399152574315,0.074249927974489,0.119664799808597,0.840313880357401,"iter_1",0.842857142857143,1,0.4,0.005,0,0,"spp14_iter_1","scenario2",411
"15","15",0.685239424872297,0.107610333590268,0.06255097475563,0.855400733218194,"iter_1",0.9,1,0.4,0.005,0,0,"spp15_iter_1","scenario2",317
"16","1",0.730332461096945,0.0867886327551133,0.0995806358005228,0.916701729652581,"iter_2",0.1,1,0.4,0.005,0,0,"spp1_iter_2","scenario2",363
"17","2",0.629201481952995,0.0879987471249751,0.127113474468306,0.844313703546276,"iter_2",0.157142857142857,1,0.4,0.005,0,0,"spp2_iter_2","scenario2",416
"18","3",0.601905473745843,0.0782511918821129,0.155833196099351,0.835989861727307,"iter_2",0.214285714285714,1,0.4,0.005,0,0,"spp3_iter_2","scenario2",454
"19","4",0.563934916112626,0.0968400533151262,0.120827320360853,0.781602289788604,"iter_2",0.271428571428571,1,0.4,0.005,0,0,"spp4_iter_2","scenario2",554
"20","5",0.493938237927913,0.111428314838028,0.0810024773776584,0.686369030143599,"iter_2",0.328571428571429,1,0.4,0.005,0,0,"spp5_iter_2","scenario2",661
"21","6",0.368587066251322,0.156915227900183,0.0645480587176168,0.590050352869122,"iter_2",0.385714285714286,1,0.4,0.005,0,0,"spp6_iter_2","scenario2",690
"22","7",0.248485175633796,0.130174196255574,0.0356744747300983,0.414333846619469,"iter_2",0.442857142857143,1,0.4,0.005,0,0,"spp7_iter_2","scenario2",750
"23","8",0.102963809051358,0.130975774683347,0.0094978313089461,0.243437415043652,"iter_2",0.5,1,0.4,0.005,0,0,"spp8_iter_2","scenario2",796
