"","env","spa","codist","r2","iteration","site","identifier","scenario","richness"
"1",0,0.000499150727354948,0.00165811525105959,0.00215726597841454,"iter1","site1","site1_iter1","scenario4",8
"2",1.31002639243093e-05,0.000350038334893487,0.00180063770510094,0.00216377630391874,"iter1","site2","site2_iter1","scenario4",7
"3",1.54174871962702e-05,0.000381920924823103,5.55427017038149e-05,0.000452881113723188,"iter1","site3","site3_iter1","scenario4",6
"4",1.18259351686801e-05,0.000390349832712131,0.000116844268997646,0.000519020036878457,"iter1","site4","site4_iter1","scenario4",6
"5",3.57237837887958e-07,0.000946055837262257,0.00236114858257024,0.00330756165767038,"iter1","site5","site5_iter1","scenario4",7
"6",0,0.00129629168295347,0,0.00129629168295347,"iter1","site6","site6_iter1","scenario4",5
"7",4.56566887945337e-06,0.000201203515246922,0.00067747012643612,0.000883239310562495,"iter1","site7","site7_iter1","scenario4",6
"8",5.30971394050892e-06,6.37316244859131e-05,0.00025878134964169,0.000327822688068112,"iter1","site8","site8_iter1","scenario4",7
"9",0,0.000247364315238437,0.000168709813779432,0.000416074129017869,"iter1","site9","site9_iter1","scenario4",6
"10",1.77831218858526e-05,0.000171907444122797,0.000324915307359894,0.000514605873368543,"iter1","site10","site10_iter1","scenario4",7
"11",0,0.000301607727855997,0.000348025055895189,0.000649632783751186,"iter1","site11","site11_iter1","scenario4",6
"12",0,0.000593043531047514,0,0.000593043531047514,"iter1","site12","site12_iter1","scenario4",7
"13",0,0.000330729376285299,0.000457582001641902,0.000788311377927201,"iter1","site13","site13_iter1","scenario4",6
"14",0,0.000197743743766821,0.000526905654688556,0.000724649398455377,"iter1","site14","site14_iter1","scenario4",7
"15",1.85130266503298e-05,0.000226673212504287,2.60919547300443e-05,0.000271278193884661,"iter1","site15","site15_iter1","scenario4",5
"16",0,0.000378869832825349,0.000395157828514425,0.000774027661339775,"iter1","site16","site16_iter1","scenario4",7
"17",3.30097522879958e-05,0.00107634433541692,0,0.00110935408770492,"iter1","site17","site17_iter1","scenario4",5
"18",2.23117515978562e-05,0.000773631858675766,0.000785882774621781,0.0015818263848954,"iter1","site18","site18_iter1","scenario4",6
"19",2.14815871260361e-05,0.00040658760114152,1.0735589832658e-05,0.000438804778100214,"iter1","site19","site19_iter1","scenario4",8
"20",1.47749202070659e-05,0.000951226140060831,0,0.000966001060267896,"iter1","site20","site20_iter1","scenario4",6
