"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.0133577058444775,0.274277291754669,0.12764417457451,0.415279172173656,"iter_1",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_1","scenario4",754
"2","2",0.0097032831185197,0.69819437979985,0.0802653299387733,0.788162992857143,"iter_1",0.157142857142857,1,0.4,0.005,1.5,1.5,"spp2_iter_1","scenario4",129
"3","3",0,0.288380239381042,0.507537488851634,0.795917728232676,"iter_1",0.214285714285714,1,0.4,0.005,1.5,1.5,"spp3_iter_1","scenario4",590
"4","4",0,0.370989282968984,0.58672392059897,0.957713203567954,"iter_1",0.271428571428571,1,0.4,0.005,1.5,1.5,"spp4_iter_1","scenario4",299
"5","5",0,0.381948864798141,0.525154834561661,0.907103699359803,"iter_1",0.328571428571429,1,0.4,0.005,1.5,1.5,"spp5_iter_1","scenario4",464
"6","6",0.00121008615533902,0.401861864849268,0.464551223964398,0.867623174969005,"iter_1",0.385714285714286,1,0.4,0.005,1.5,1.5,"spp6_iter_1","scenario4",390
"7","7",0,0.359348263656138,0.475566866460968,0.834915130117106,"iter_1",0.442857142857143,1,0.4,0.005,1.5,1.5,"spp7_iter_1","scenario4",429
"8","8",0,0.469285103437683,0.403816752455547,0.87310185589323,"iter_1",0.5,1,0.4,0.005,1.5,1.5,"spp8_iter_1","scenario4",385
"9","9",0,0.420703450387069,0.470529600570725,0.891233050957794,"iter_1",0.557142857142857,1,0.4,0.005,1.5,1.5,"spp9_iter_1","scenario4",462
"10","10",0,0.359936599011191,0.604159495615017,0.964096094626208,"iter_1",0.614285714285714,1,0.4,0.005,1.5,1.5,"spp10_iter_1","scenario4",356
"11","11",0.000554603910324913,0.259368773320272,0.536709152134742,0.796632529365339,"iter_1",0.671428571428571,1,0.4,0.005,1.5,1.5,"spp11_iter_1","scenario4",501
"12","12",0,0.38048439187277,0.455728348763902,0.836212740636672,"iter_1",0.728571428571429,1,0.4,0.005,1.5,1.5,"spp12_iter_1","scenario4",280
"13","13",0.00604573041495299,0.330628231953347,0.320727265080842,0.657401227449142,"iter_1",0.785714285714286,1,0.4,0.005,1.5,1.5,"spp13_iter_1","scenario4",627
"14","14",0.00244841324136408,0.526978794038319,0.164459897604093,0.693887104883776,"iter_1",0.842857142857143,1,0.4,0.005,1.5,1.5,"spp14_iter_1","scenario4",119
"15","15",0.00486544995077154,0.248943024251057,0.0351613663450778,0.288969840546907,"iter_1",0.9,1,0.4,0.005,1.5,1.5,"spp15_iter_1","scenario4",775
"16","1",0.0211777018946807,0.261966519466844,0.00709811797183568,0.29024233933336,"iter_2",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_2","scenario4",824
"17","2",0.00789346395800195,0.79045553337415,0.0465471186808132,0.844896116012965,"iter_2",0.157142857142857,1,0.4,0.005,1.5,1.5,"spp2_iter_2","scenario4",81
"18","3",0,0.348659679352491,0.401849928764433,0.750509608116924,"iter_2",0.214285714285714,1,0.4,0.005,1.5,1.5,"spp3_iter_2","scenario4",634
"19","4",0,0.404590333037146,0.554469253011732,0.959059586048878,"iter_2",0.271428571428571,1,0.4,0.005,1.5,1.5,"spp4_iter_2","scenario4",256
"20","5",0,0.308568089469322,0.655924409879203,0.964492499348525,"iter_2",0.328571428571429,1,0.4,0.005,1.5,1.5,"spp5_iter_2","scenario4",513
"21","6",0.00517875360967712,0.441496622358048,0.414107357487618,0.860782733455343,"iter_2",0.385714285714286,1,0.4,0.005,1.5,1.5,"spp6_iter_2","scenario4",326
"22","7",0,0.38718712834416,0.476092391060824,0.863279519404984,"iter_2",0.442857142857143,1,0.4,0.005,1.5,1.5,"spp7_iter_2","scenario4",466
"23","8",0,0.455435572939873,0.459578008955404,0.915013581895278,"iter_2",0.5,1,0.4,0.005,1.5,1.5,"spp8_iter_2","scenario4",366
"24","9",0,0.364641731764105,0.582538714006111,0.947180445770216,"iter_2",0.557142857142857,1,0.4,0.005,1.5,1.5,"spp9_iter_2","scenario4",488
"25","10",0,0.339564489049374,0.595643423769143,0.935207912818517,"iter_2",0.614285714285714,1,0.4,0.005,1.5,1.5,"spp10_iter_2","scenario4",343
"26","11",0,0.307739648960406,0.486627131017806,0.794366779978212,"iter_2",0.671428571428571,1,0.4,0.005,1.5,1.5,"spp11_iter_2","scenario4",484
"27","12",0.000248337949450672,0.349369043319913,0.341190264094537,0.6908076453639,"iter_2",0.728571428571429,1,0.4,0.005,1.5,1.5,"spp12_iter_2","scenario4",292
"28","13",0,0.332292848925245,0.18857715072344,0.520869999648685,"iter_2",0.785714285714286,1,0.4,0.005,1.5,1.5,"spp13_iter_2","scenario4",581
"29","14",0.00612100949253808,0.47047208319267,0.0441950645309708,0.520788157216179,"iter_2",0.842857142857143,1,0.4,0.005,1.5,1.5,"spp14_iter_2","scenario4",114
"30","15",0.0107766803884117,0.162190051717165,0.00985628218540824,0.182823014290985,"iter_2",0.9,1,0.4,0.005,1.5,1.5,"spp15_iter_2","scenario4",760
"31","1",0.0175144332800928,0.201692234782018,0.0178583287627631,0.237064996824874,"iter_3",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_3","scenario4",814
