"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.124481257491508,0.379864250791303,0,0.50434550828281,"iter_1",0.1,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario3",18
"2","2",0.403805419975576,0,0,0.403805419975576,"iter_1",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario3",7
"3","3",0.476755479451019,0.0161352460722703,0,0.49289072552329,"iter_1",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_1","scenario3",13
"4","4",0.45896208425966,0.117822713103179,0,0.576784797362839,"iter_1",0.5,0.2,0.4,0.005,0,0,"spp4_iter_1","scenario3",14
"5","5",0.320608637875297,0.231934694427271,0,0.552543332302568,"iter_1",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_1","scenario3",16
"6","6",0.198244083726874,0.425433174989283,0,0.623677258716157,"iter_1",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_1","scenario3",33
"7","7",0.537481870397636,0.062208791546451,0,0.599690661944087,"iter_1",0.9,0.2,0.4,0.005,0,0,"spp7_iter_1","scenario3",26
"8","8",0.214001551994904,0.386989846897369,0,0.600991398892273,"iter_1",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_1","scenario3",25
"9","9",0.352706249040421,0.311179304653027,0,0.663885553693448,"iter_1",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_1","scenario3",28
"10","10",0.222339241048469,0.329206497408815,0,0.551545738457284,"iter_1",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_1","scenario3",25
"11","11",0.481624286885906,0.153774129292333,0.0174240028506585,0.652822419028897,"iter_1",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_1","scenario3",87
"12","12",0.418062452966499,0.250903833537501,0,0.668966286503999,"iter_1",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_1","scenario3",56
"13","13",0.642076231245603,0.101572662425223,0,0.743648893670826,"iter_1",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_1","scenario3",55
"14","14",0.426734887579876,0.284677817469148,0,0.711412705049024,"iter_1",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_1","scenario3",46
"15","15",0.353109114056429,0.336717910186622,0,0.689827024243052,"iter_1",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_1","scenario3",67
"16","1",0.182007377687341,0.29257310551835,0,0.474580483205692,"iter_2",0.1,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario3",19
"17","2",0.381166922295311,0,0,0.381166922295311,"iter_2",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario3",4
"18","3",0.200647852296417,0.254051563696185,0,0.454699415992602,"iter_2",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_2","scenario3",19
"19","4",0.408252240520808,0,0,0.408252240520808,"iter_2",0.5,0.2,0.4,0.005,0,0,"spp4_iter_2","scenario3",9
"20","5",0.161524295032984,0.36830871846027,0,0.529833013493254,"iter_2",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_2","scenario3",21
"21","6",0.441673079083431,0.152054713299323,0,0.593727792382754,"iter_2",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_2","scenario3",33
"22","7",0.118199300659065,0.359717489891059,0,0.477916790550124,"iter_2",0.9,0.2,0.4,0.005,0,0,"spp7_iter_2","scenario3",18
"23","8",0.385462405344657,0.211955783035634,0,0.597418188380291,"iter_2",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_2","scenario3",32
"24","9",0.499992671077434,0.130630435695439,0,0.630623106772873,"iter_2",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_2","scenario3",28
"25","10",0.199325078886485,0.435150920271825,0,0.63447599915831,"iter_2",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_2","scenario3",37
"26","11",0.396481553079436,0.293065586201673,0,0.689547139281109,"iter_2",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_2","scenario3",77
"27","12",0.525156398709741,0.0825029547298878,0,0.607659353439629,"iter_2",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_2","scenario3",50
"28","13",0.619027512868141,0.127943805297999,0,0.746971318166139,"iter_2",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_2","scenario3",55
"29","14",0.591069574606467,0.143599734483652,0,0.734669309090119,"iter_2",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_2","scenario3",52
"30","15",0.45802562247321,0.236075402322268,0,0.694101024795478,"iter_2",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_2","scenario3",65
"31","1",0.0945381018660583,0.389515129192929,0,0.484053231058987,"iter_3",0.1,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario3",17
"32","2",0.48407532754256,0.026935531595932,0,0.511010859138492,"iter_3",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario3",10
"33","3",0.336139819947534,0,0,0.336139819947534,"iter_3",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_3","scenario3",4
"34","4",0.392360409330959,0.0912842693854408,0,0.4836446787164,"iter_3",0.5,0.2,0.4,0.005,0,0,"spp4_iter_3","scenario3",15
"35","5",0.254379930890613,0.299323617993808,0,0.553703548884422,"iter_3",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_3","scenario3",29
"36","6",0.269899252301722,0.389241642262455,0,0.659140894564177,"iter_3",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_3","scenario3",33
"37","7",0.531036818707521,0.132164499797109,0,0.66320131850463,"iter_3",0.9,0.2,0.4,0.005,0,0,"spp7_iter_3","scenario3",26
"38","8",0.527875260722676,0.131750551538779,0,0.659625812261455,"iter_3",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_3","scenario3",29
"39","9",0.484654462191972,0.178055392968491,0,0.662709855160463,"iter_3",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_3","scenario3",26
"40","10",0.380647007954745,0.230401472909515,0,0.611048480864261,"iter_3",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_3","scenario3",35
"41","11",0.396840851976221,0.297593834920358,0,0.694434686896579,"iter_3",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_3","scenario3",62
"42","12",0.651144250747802,0.121654417707945,0,0.772798668455747,"iter_3",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_3","scenario3",52
"43","13",0.610977390387589,0.137819203074698,0,0.748796593462287,"iter_3",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_3","scenario3",75
"44","14",0.553258668849239,0.197540502088192,0,0.75079917093743,"iter_3",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_3","scenario3",63
"45","15",0.35889220441827,0.252892350858556,0.0206232378181286,0.632407793094955,"iter_3",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_3","scenario3",71
