"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.451490317471612,0.214024701030136,0.0193797542448153,0.684894772746563,"iter_1",0.1,0.2,0.4,0.005,0,0,"spp1_iter_1","Fig2a",165
"2","2",0.600110313087164,0.126897787294267,0.0365961588836358,0.763604259265067,"iter_1",0.157142857142857,0.2,0.4,0.005,0,0,"spp2_iter_1","Fig2a",255
"3","3",0.638068284216684,0.0908158934493984,0.0367150229988311,0.765599200664914,"iter_1",0.214285714285714,0.2,0.4,0.005,0,0,"spp3_iter_1","Fig2a",272
"4","4",0.59487516415897,0.0821032818218291,0.075050847844941,0.75202929382574,"iter_1",0.271428571428571,0.2,0.4,0.005,0,0,"spp4_iter_1","Fig2a",311
"5","5",0.588424381985576,0.10304007600028,0.0314775885567788,0.722942046542636,"iter_1",0.328571428571429,0.2,0.4,0.005,0,0,"spp5_iter_1","Fig2a",371
"6","6",0.462819242011918,0.133362331307063,0.0545971244363016,0.650778697755283,"iter_1",0.385714285714286,0.2,0.4,0.005,0,0,"spp6_iter_1","Fig2a",381
"7","7",0.46768007438331,0.110611959491884,0.0725013553261606,0.650793389201354,"iter_1",0.442857142857143,0.2,0.4,0.005,0,0,"spp7_iter_1","Fig2a",369
"8","8",0.356238051524419,0.10945335452061,0.102372088053144,0.568063494098173,"iter_1",0.5,0.2,0.4,0.005,0,0,"spp8_iter_1","Fig2a",384
"9","9",0.410535264570857,0.138586654572196,0.108015457981634,0.657137377124686,"iter_1",0.557142857142857,0.2,0.4,0.005,0,0,"spp9_iter_1","Fig2a",386
"10","10",0.48851840432589,0.102305621212871,0.174587757561035,0.765411783099797,"iter_1",0.614285714285714,0.2,0.4,0.005,0,0,"spp10_iter_1","Fig2a",358
"11","11",0.513859813097196,0.137340900794322,0.0721589400409313,0.723359653932449,"iter_1",0.671428571428571,0.2,0.4,0.005,0,0,"spp11_iter_1","Fig2a",323
"12","12",0.646986580961614,0.0852266029335124,0.0146895244840113,0.746902708379138,"iter_1",0.728571428571429,0.2,0.4,0.005,0,0,"spp12_iter_1","Fig2a",303
"13","13",0.670001320717438,0.0611307027679072,0.02562926507251,0.756761288557855,"iter_1",0.785714285714286,0.2,0.4,0.005,0,0,"spp13_iter_1","Fig2a",271
"14","14",0.580412363844691,0.174143178489952,0.0205859658344493,0.775141508169092,"iter_1",0.842857142857143,0.2,0.4,0.005,0,0,"spp14_iter_1","Fig2a",195
"15","15",0.491158048454269,0.212257831548271,0,0.703415880002539,"iter_1",0.9,0.2,0.4,0.005,0,0,"spp15_iter_1","Fig2a",152
"16","1",0.558918425727431,0.162258583082996,0,0.721177008810427,"iter_2",0.1,0.2,0.4,0.005,0,0,"spp1_iter_2","Fig2a",163
"17","2",0.458533579672983,0.245497317942096,0.0197951596601341,0.723826057275213,"iter_2",0.157142857142857,0.2,0.4,0.005,0,0,"spp2_iter_2","Fig2a",221
"18","3",0.542670448760469,0.14756870661624,0.0540720430083842,0.744311198385093,"iter_2",0.214285714285714,0.2,0.4,0.005,0,0,"spp3_iter_2","Fig2a",284
"19","4",0.652156950345978,0.105928186530996,0.0205525890803089,0.778637725957282,"iter_2",0.271428571428571,0.2,0.4,0.005,0,0,"spp4_iter_2","Fig2a",309
"20","5",0.620535696895292,0.0780421456772005,0.036732137828943,0.735309980401436,"iter_2",0.328571428571429,0.2,0.4,0.005,0,0,"spp5_iter_2","Fig2a",346
"21","6",0.472755572113234,0.114870595747917,0.102245471114835,0.689871638975986,"iter_2",0.385714285714286,0.2,0.4,0.005,0,0,"spp6_iter_2","Fig2a",374
"22","7",0.462456325833882,0.126931771240036,0.104905515938896,0.694293613012814,"iter_2",0.442857142857143,0.2,0.4,0.005,0,0,"spp7_iter_2","Fig2a",405
"23","8",0.401740598573024,0.0912430148660019,0.185989801266347,0.678973414705373,"iter_2",0.5,0.2,0.4,0.005,0,0,"spp8_iter_2","Fig2a",373
"24","9",0.422495287077452,0.118957181343787,0.041667731042465,0.583120199463704,"iter_2",0.557142857142857,0.2,0.4,0.005,0,0,"spp9_iter_2","Fig2a",392
"25","10",0.467440782281528,0.125110593162069,0.0762642090994459,0.668815584543043,"iter_2",0.614285714285714,0.2,0.4,0.005,0,0,"spp10_iter_2","Fig2a",327
"26","11",0.577642560282526,0.0899494423453063,0.125015133307729,0.792607135935561,"iter_2",0.671428571428571,0.2,0.4,0.005,0,0,"spp11_iter_2","Fig2a",327
"27","12",0.588398260744268,0.0909873160200695,0.0590404269863585,0.738426003750696,"iter_2",0.728571428571429,0.2,0.4,0.005,0,0,"spp12_iter_2","Fig2a",302
"28","13",0.681195496560182,0.0862019931202809,0.08052488110065,0.847922370781113,"iter_2",0.785714285714286,0.2,0.4,0.005,0,0,"spp13_iter_2","Fig2a",279
"29","14",0.563756247553995,0.0692722021905172,0.0753997429372543,0.708428192681767,"iter_2",0.842857142857143,0.2,0.4,0.005,0,0,"spp14_iter_2","Fig2a",192
"30","15",0.551804704748495,0.151024596754732,0.0713594833093881,0.774188784812615,"iter_2",0.9,0.2,0.4,0.005,0,0,"spp15_iter_2","Fig2a",176
